,word,word_id,passage
1,all,1,the_brain_and_five_senses.csv
2,people,2,the_brain_and_five_senses.csv
3,have,3,the_brain_and_five_senses.csv
4,five,4,the_brain_and_five_senses.csv
5,senses,5,the_brain_and_five_senses.csv
6,people,6,the_brain_and_five_senses.csv
7,have,7,the_brain_and_five_senses.csv
8,eyes,8,the_brain_and_five_senses.csv
9,ears,9,the_brain_and_five_senses.csv
10,a,10,the_brain_and_five_senses.csv
11,nose,11,the_brain_and_five_senses.csv
12,a,12,the_brain_and_five_senses.csv
13,mouth,13,the_brain_and_five_senses.csv
14,and,14,the_brain_and_five_senses.csv
15,hands,15,the_brain_and_five_senses.csv
16,each,16,the_brain_and_five_senses.csv
17,of,17,the_brain_and_five_senses.csv
18,the,18,the_brain_and_five_senses.csv
19,senses,19,the_brain_and_five_senses.csv
20,is,20,the_brain_and_five_senses.csv
21,part,21,the_brain_and_five_senses.csv
22,of,22,the_brain_and_five_senses.csv
23,the,23,the_brain_and_five_senses.csv
24,brain,24,the_brain_and_five_senses.csv
25,the,25,the_brain_and_five_senses.csv
26,brain,26,the_brain_and_five_senses.csv
27,makes,27,the_brain_and_five_senses.csv
28,the,28,the_brain_and_five_senses.csv
29,senses,29,the_brain_and_five_senses.csv
30,work,30,the_brain_and_five_senses.csv
31,people,31,the_brain_and_five_senses.csv
32,hear,32,the_brain_and_five_senses.csv
33,with,33,the_brain_and_five_senses.csv
34,their,34,the_brain_and_five_senses.csv
35,ears,35,the_brain_and_five_senses.csv
36,people,36,the_brain_and_five_senses.csv
37,see,37,the_brain_and_five_senses.csv
38,with,38,the_brain_and_five_senses.csv
39,their,39,the_brain_and_five_senses.csv
40,eyes,40,the_brain_and_five_senses.csv
41,they,41,the_brain_and_five_senses.csv
42,smell,42,the_brain_and_five_senses.csv
43,with,43,the_brain_and_five_senses.csv
44,their,44,the_brain_and_five_senses.csv
45,noses,45,the_brain_and_five_senses.csv
46,they,46,the_brain_and_five_senses.csv
47,taste,47,the_brain_and_five_senses.csv
48,with,48,the_brain_and_five_senses.csv
49,their,49,the_brain_and_five_senses.csv
50,mouths,50,the_brain_and_five_senses.csv
51,people,51,the_brain_and_five_senses.csv
52,touch,52,the_brain_and_five_senses.csv
53,things,53,the_brain_and_five_senses.csv
54,with,54,the_brain_and_five_senses.csv
55,their,55,the_brain_and_five_senses.csv
56,hands,56,the_brain_and_five_senses.csv
57,but,57,the_brain_and_five_senses.csv
58,without,58,the_brain_and_five_senses.csv
59,the,59,the_brain_and_five_senses.csv
60,brain,60,the_brain_and_five_senses.csv
61,people,61,the_brain_and_five_senses.csv
62,would,62,the_brain_and_five_senses.csv
63,not,63,the_brain_and_five_senses.csv
64,see,64,the_brain_and_five_senses.csv
65,hear,65,the_brain_and_five_senses.csv
66,smell,66,the_brain_and_five_senses.csv
67,taste,67,the_brain_and_five_senses.csv
68,or,68,the_brain_and_five_senses.csv
69,touch,69,the_brain_and_five_senses.csv
70,the,70,the_brain_and_five_senses.csv
71,brain,71,the_brain_and_five_senses.csv
72,makes,72,the_brain_and_five_senses.csv
73,all,73,the_brain_and_five_senses.csv
74,our,74,the_brain_and_five_senses.csv
75,senses,75,the_brain_and_five_senses.csv
76,work,76,the_brain_and_five_senses.csv
