,word,word_id,passage
1,sam,1,the_surprise.csv
2,'s,2,the_surprise.csv
3,birthday,3,the_surprise.csv
4,was,4,the_surprise.csv
5,in,5,the_surprise.csv
6,two,6,the_surprise.csv
7,days,7,the_surprise.csv
8,he,8,the_surprise.csv
9,was,9,the_surprise.csv
10,going,10,the_surprise.csv
11,to,11,the_surprise.csv
12,be,12,the_surprise.csv
13,seven,13,the_surprise.csv
14,years,14,the_surprise.csv
15,old,15,the_surprise.csv
16,he,16,the_surprise.csv
17,wanted,17,the_surprise.csv
18,a,18,the_surprise.csv
19,play,19,the_surprise.csv
20,station,20,the_surprise.csv
21,game,21,the_surprise.csv
22,he,22,the_surprise.csv
23,also,23,the_surprise.csv
24,wanted,24,the_surprise.csv
25,a,25,the_surprise.csv
26,new,26,the_surprise.csv
27,bike,27,the_surprise.csv
28,but,28,the_surprise.csv
29,most,29,the_surprise.csv
30,of,30,the_surprise.csv
31,all,31,the_surprise.csv
32,he,32,the_surprise.csv
33,wanted,33,the_surprise.csv
34,a,34,the_surprise.csv
35,dog,35,the_surprise.csv
36,his,36,the_surprise.csv
37,father,37,the_surprise.csv
38,went,38,the_surprise.csv
39,to,39,the_surprise.csv
40,look,40,the_surprise.csv
41,for,41,the_surprise.csv
42,a,42,the_surprise.csv
43,present,43,the_surprise.csv
44,first,44,the_surprise.csv
45,he,45,the_surprise.csv
46,went,46,the_surprise.csv
47,into,47,the_surprise.csv
48,the,48,the_surprise.csv
49,toy,49,the_surprise.csv
50,store,50,the_surprise.csv
51,he,51,the_surprise.csv
52,saw,52,the_surprise.csv
53,the,53,the_surprise.csv
54,play,54,the_surprise.csv
55,station,55,the_surprise.csv
56,that,56,the_surprise.csv
57,sam,57,the_surprise.csv
58,wanted,58,the_surprise.csv
59,but ,59,the_surprise.csv
60,his,60,the_surprise.csv
61,father,61,the_surprise.csv
62,did,62,the_surprise.csv
63,n't,63,the_surprise.csv
64,have,64,the_surprise.csv
65,enough,65,the_surprise.csv
66,money,66,the_surprise.csv
67,then,67,the_surprise.csv
68,he,68,the_surprise.csv
69,saw,69,the_surprise.csv
70,a,70,the_surprise.csv
71,red,71,the_surprise.csv
72,bike,72,the_surprise.csv
73,that,73,the_surprise.csv
74,sam,74,the_surprise.csv
75,would,75,the_surprise.csv
76,love,76,the_surprise.csv
77,but,77,the_surprise.csv
78,that,78,the_surprise.csv
79,also,79,the_surprise.csv
80,cost,80,the_surprise.csv
81,too,81,the_surprise.csv
82,much,82,the_surprise.csv
83,he,83,the_surprise.csv
84,drove,84,the_surprise.csv
85,to,85,the_surprise.csv
86,the,86,the_surprise.csv
87,animal,87,the_surprise.csv
88,care,88,the_surprise.csv
89,center,89,the_surprise.csv
90,it,90,the_surprise.csv
91,was,91,the_surprise.csv
92,hard,92,the_surprise.csv
93,to,93,the_surprise.csv
94,choose,94,the_surprise.csv
95,just,95,the_surprise.csv
